PROD_CODE,PROD_CODE_10,PROD_CODE_20,PROD_CODE_30,PROD_CODE_40
PRD0903362,CL00001,DEP00001,G00001,D00001
PRD0903317,CL00002,DEP00001,G00001,D00001
PRD0902560,CL00002,DEP00001,G00001,D00001
PRD0901533,CL00001,DEP00001,G00001,D00001
PRD0903441,CL00002,DEP00001,G00001,D00001
PRD0902632,CL00001,DEP00001,G00001,D00001
PRD0900097,CL00001,DEP00001,G00001,D00001
PRD0903423,CL00002,DEP00001,G00001,D00001
PRD0900139,CL00001,DEP00001,G00001,D00001
PRD0900202,CL00002,DEP00001,G00001,D00001
PRD0901789,CL00001,DEP00001,G00001,D00001
PRD0900819,CL00002,DEP00001,G00001,D00001
PRD0904896,CL00003,DEP00002,G00001,D00001
PRD0902068,CL00006,DEP00002,G00001,D00001
PRD0904920,CL00003,DEP00002,G00001,D00001
PRD0902618,CL00006,DEP00002,G00001,D00001
PRD0900859,CL00006,DEP00002,G00001,D00001
PRD0901458,CL00006,DEP00002,G00001,D00001
PRD0901122,CL00005,DEP00002,G00001,D00001
PRD0900290,CL00004,DEP00002,G00001,D00001
PRD0904639,CL00006,DEP00002,G00001,D00001
PRD0901651,CL00006,DEP00002,G00001,D00001
PRD0904623,CL00006,DEP00002,G00001,D00001
PRD0902843,CL00003,DEP00002,G00001,D00001
PRD0904469,CL00006,DEP00002,G00001,D00001
PRD0903194,CL00003,DEP00002,G00001,D00001
PRD0901826,CL00005,DEP00002,G00001,D00001
PRD0903875,CL00003,DEP00002,G00001,D00001
PRD0900517,CL00005,DEP00002,G00001,D00001
PRD0903986,CL00003,DEP00002,G00001,D00001
PRD0901243,CL00005,DEP00002,G00001,D00001
PRD0900637,CL00003,DEP00002,G00001,D00001
PRD0900021,CL00006,DEP00002,G00001,D00001
PRD0902238,CL00006,DEP00002,G00001,D00001
PRD0904121,CL00003,DEP00002,G00001,D00001
PRD0900080,CL00006,DEP00002,G00001,D00001
PRD0900300,CL00005,DEP00002,G00001,D00001
PRD0904315,CL00006,DEP00002,G00001,D00001
PRD0900755,CL00003,DEP00002,G00001,D00001
PRD0901928,CL00006,DEP00002,G00001,D00001
PRD0904029,CL00005,DEP00002,G00001,D00001
PRD0904286,CL00003,DEP00002,G00001,D00001
PRD0903261,CL00003,DEP00002,G00001,D00001
PRD0904005,CL00003,DEP00002,G00001,D00001
PRD0902232,CL00006,DEP00002,G00001,D00001
PRD0900336,CL00006,DEP00002,G00001,D00001
PRD0901942,CL00006,DEP00002,G00001,D00001
PRD0903274,CL00008,DEP00003,G00002,D00001
PRD0902712,CL00010,DEP00003,G00002,D00001
PRD0900894,CL00007,DEP00003,G00002,D00001
PRD0900930,CL00008,DEP00003,G00002,D00001
PRD0902290,CL00007,DEP00003,G00002,D00001
PRD0901961,CL00007,DEP00003,G00002,D00001
PRD0902188,CL00008,DEP00003,G00002,D00001
PRD0901647,CL00010,DEP00003,G00002,D00001
PRD0904593,CL00010,DEP00003,G00002,D00001
PRD0904115,CL00010,DEP00003,G00002,D00001
PRD0900146,CL00007,DEP00003,G00002,D00001
PRD0901493,CL00011,DEP00003,G00002,D00001
PRD0901416,CL00007,DEP00003,G00002,D00001
PRD0903818,CL00009,DEP00003,G00002,D00001
PRD0900692,CL00010,DEP00003,G00002,D00001
PRD0901769,CL00007,DEP00003,G00002,D00001
PRD0902484,CL00008,DEP00003,G00002,D00001
PRD0904422,CL00008,DEP00003,G00002,D00001
PRD0904307,CL00010,DEP00003,G00002,D00001
PRD0904126,CL00011,DEP00003,G00002,D00001
PRD0900750,CL00011,DEP00003,G00002,D00001
PRD0903452,CL00007,DEP00003,G00002,D00001
PRD0904192,CL00007,DEP00003,G00002,D00001
PRD0901765,CL00007,DEP00003,G00002,D00001
PRD0902892,CL00007,DEP00003,G00002,D00001
PRD0900379,CL00011,DEP00003,G00002,D00001
PRD0904731,CL00008,DEP00003,G00002,D00001
PRD0904136,CL00007,DEP00003,G00002,D00001
PRD0901134,CL00008,DEP00003,G00002,D00001
PRD0903761,CL00008,DEP00003,G00002,D00001
PRD0903145,CL00010,DEP00003,G00002,D00001
PRD0901088,CL00010,DEP00003,G00002,D00001
PRD0904969,CL00008,DEP00003,G00002,D00001
PRD0904182,CL00008,DEP00003,G00002,D00001
PRD0904572,CL00007,DEP00003,G00002,D00001
PRD0901311,CL00014,DEP00004,G00003,D00001
PRD0904934,CL00016,DEP00004,G00003,D00001
PRD0902968,CL00013,DEP00004,G00003,D00001
PRD0904044,CL00014,DEP00004,G00003,D00001
PRD0903477,CL00014,DEP00004,G00003,D00001
PRD0902295,CL00014,DEP00004,G00003,D00001
PRD0904915,CL00013,DEP00004,G00003,D00001
PRD0904881,CL00014,DEP00004,G00003,D00001
PRD0902685,CL00015,DEP00004,G00003,D00001
PRD0901673,CL00014,DEP00004,G00003,D00001
PRD0901957,CL00016,DEP00004,G00003,D00001
PRD0901939,CL00016,DEP00004,G00003,D00001
PRD0903813,CL00015,DEP00004,G00003,D00001
PRD0902848,CL00014,DEP00004,G00003,D00001
PRD0901395,CL00015,DEP00004,G00003,D00001
PRD0903027,CL00014,DEP00004,G00003,D00001
PRD0900588,CL00014,DEP00004,G00003,D00001
PRD0900673,CL00016,DEP00004,G00003,D00001
PRD0901688,CL00013,DEP00004,G00003,D00001
PRD0901505,CL00014,DEP00004,G00003,D00001
PRD0901176,CL00014,DEP00004,G00003,D00001
PRD0902556,CL00013,DEP00004,G00003,D00001
PRD0900340,CL00013,DEP00004,G00003,D00001
PRD0903570,CL00014,DEP00004,G00003,D00001
PRD0904755,CL00013,DEP00004,G00003,D00001
PRD0900199,CL00013,DEP00004,G00003,D00001
PRD0900015,CL00015,DEP00004,G00003,D00001
PRD0903091,CL00016,DEP00004,G00003,D00001
PRD0901661,CL00015,DEP00004,G00003,D00001
PRD0902041,CL00013,DEP00004,G00003,D00001
PRD0902335,CL00014,DEP00004,G00003,D00001
PRD0900498,CL00015,DEP00004,G00003,D00001
PRD0904679,CL00017,DEP00005,G00003,D00001
PRD0900204,CL00020,DEP00005,G00003,D00001
PRD0900058,CL00020,DEP00005,G00003,D00001
PRD0904120,CL00020,DEP00005,G00003,D00001
PRD0903951,CL00020,DEP00005,G00003,D00001
PRD0903821,CL00020,DEP00005,G00003,D00001
PRD0904004,CL00017,DEP00005,G00003,D00001
PRD0904048,CL00020,DEP00005,G00003,D00001
PRD0902735,CL00020,DEP00005,G00003,D00001
PRD0901799,CL00017,DEP00005,G00003,D00001
PRD0904561,CL00018,DEP00005,G00003,D00001
PRD0901954,CL00017,DEP00005,G00003,D00001
PRD0902488,CL00020,DEP00005,G00003,D00001
PRD0902915,CL00020,DEP00005,G00003,D00001
PRD0902087,CL00020,DEP00005,G00003,D00001
PRD0901871,CL00020,DEP00005,G00003,D00001
PRD0902008,CL00018,DEP00005,G00003,D00001
PRD0903841,CL00020,DEP00005,G00003,D00001
PRD0901486,CL00018,DEP00005,G00003,D00001
PRD0900093,CL00020,DEP00005,G00003,D00001
PRD0901798,CL00017,DEP00005,G00003,D00001
PRD0903859,CL00020,DEP00005,G00003,D00001
PRD0904657,CL00017,DEP00005,G00003,D00001
PRD0900004,CL00020,DEP00005,G00003,D00001
PRD0904791,CL00017,DEP00005,G00003,D00001
PRD0900603,CL00018,DEP00005,G00003,D00001
PRD0903277,CL00017,DEP00005,G00003,D00001
PRD0903325,CL00020,DEP00005,G00003,D00001
PRD0904320,CL00020,DEP00005,G00003,D00001
PRD0902850,CL00018,DEP00005,G00003,D00001
PRD0903321,CL00020,DEP00005,G00003,D00001
PRD0900933,CL00020,DEP00005,G00003,D00001
PRD0901265,CL00030,DEP00008,G00004,D00002
PRD0903395,CL00028,DEP00008,G00004,D00002
PRD0903052,CL00031,DEP00008,G00004,D00002
PRD0901520,CL00030,DEP00008,G00004,D00002
PRD0903295,CL00032,DEP00008,G00004,D00002
PRD0900703,CL00023,DEP00008,G00004,D00002
PRD0900440,CL00026,DEP00008,G00004,D00002
PRD0900875,CL00025,DEP00008,G00004,D00002
PRD0904567,CL00025,DEP00008,G00004,D00002
PRD0900239,CL00023,DEP00008,G00004,D00002
PRD0901294,CL00033,DEP00008,G00004,D00002
PRD0902029,CL00031,DEP00008,G00004,D00002
PRD0902929,CL00027,DEP00008,G00004,D00002
PRD0903497,CL00023,DEP00008,G00004,D00002
PRD0900691,CL00023,DEP00008,G00004,D00002
PRD0903411,CL00032,DEP00008,G00004,D00002
PRD0902423,CL00031,DEP00008,G00004,D00002
PRD0903587,CL00031,DEP00008,G00004,D00002
PRD0900867,CL00027,DEP00008,G00004,D00002
PRD0903848,CL00024,DEP00008,G00004,D00002
PRD0901948,CL00023,DEP00008,G00004,D00002
PRD0900234,CL00025,DEP00008,G00004,D00002
PRD0904299,CL00029,DEP00008,G00004,D00002
PRD0902882,CL00029,DEP00008,G00004,D00002
PRD0904762,CL00025,DEP00008,G00004,D00002
PRD0904430,CL00033,DEP00008,G00004,D00002
PRD0904415,CL00032,DEP00008,G00004,D00002
PRD0903867,CL00023,DEP00008,G00004,D00002
PRD0900407,CL00028,DEP00008,G00004,D00002
PRD0901387,CL00030,DEP00008,G00004,D00002
PRD0904723,CL00024,DEP00008,G00004,D00002
PRD0901776,CL00025,DEP00008,G00004,D00002
PRD0904378,CL00032,DEP00008,G00004,D00002
PRD0904439,CL00024,DEP00008,G00004,D00002
PRD0900531,CL00026,DEP00008,G00004,D00002
PRD0902944,CL00027,DEP00008,G00004,D00002
PRD0904801,CL00024,DEP00008,G00004,D00002
PRD0902450,CL00032,DEP00008,G00004,D00002
PRD0902300,CL00025,DEP00008,G00004,D00002
PRD0904445,CL00032,DEP00008,G00004,D00002
PRD0904994,CL00033,DEP00008,G00004,D00002
PRD0900494,CL00023,DEP00008,G00004,D00002
PRD0900159,CL00029,DEP00008,G00004,D00002
PRD0903619,CL00032,DEP00008,G00004,D00002
PRD0901309,CL00033,DEP00008,G00004,D00002
PRD0901740,CL00033,DEP00008,G00004,D00002
PRD0903314,CL00030,DEP00008,G00004,D00002
PRD0904780,CL00031,DEP00008,G00004,D00002
PRD0900863,CL00026,DEP00008,G00004,D00002
PRD0904022,CL00024,DEP00008,G00004,D00002
PRD0904628,CL00026,DEP00008,G00004,D00002
PRD0904446,CL00028,DEP00008,G00004,D00002
PRD0903644,CL00023,DEP00008,G00004,D00002
PRD0904918,CL00025,DEP00008,G00004,D00002
PRD0901447,CL00032,DEP00008,G00004,D00002
PRD0903415,CL00025,DEP00008,G00004,D00002
PRD0900182,CL00025,DEP00008,G00004,D00002
PRD0902342,CL00023,DEP00008,G00004,D00002
PRD0903910,CL00027,DEP00008,G00004,D00002
PRD0902076,CL00032,DEP00008,G00004,D00002
PRD0902230,CL00030,DEP00008,G00004,D00002
PRD0904891,CL00025,DEP00008,G00004,D00002
PRD0904857,CL00036,DEP00009,G00004,D00002
PRD0900797,CL00034,DEP00009,G00004,D00002
PRD0901775,CL00035,DEP00009,G00004,D00002
PRD0904947,CL00034,DEP00009,G00004,D00002
PRD0900497,CL00035,DEP00009,G00004,D00002
PRD0900385,CL00036,DEP00009,G00004,D00002
PRD0903217,CL00035,DEP00009,G00004,D00002
PRD0900769,CL00036,DEP00009,G00004,D00002
PRD0903192,CL00036,DEP00009,G00004,D00002
PRD0901258,CL00036,DEP00009,G00004,D00002
PRD0903357,CL00036,DEP00009,G00004,D00002
PRD0901549,CL00034,DEP00009,G00004,D00002
PRD0901067,CL00036,DEP00009,G00004,D00002
PRD0903426,CL00035,DEP00009,G00004,D00002
PRD0903571,CL00034,DEP00009,G00004,D00002
PRD0902003,CL00036,DEP00009,G00004,D00002
PRD0901355,CL00036,DEP00009,G00004,D00002
PRD0903186,CL00036,DEP00009,G00004,D00002
PRD0903632,CL00036,DEP00009,G00004,D00002
PRD0902305,CL00035,DEP00009,G00004,D00002
PRD0903582,CL00036,DEP00009,G00004,D00002
PRD0900925,CL00035,DEP00009,G00004,D00002
PRD0902353,CL00034,DEP00009,G00004,D00002
PRD0904716,CL00036,DEP00009,G00004,D00002
PRD0904298,CL00036,DEP00009,G00004,D00002
PRD0900174,CL00034,DEP00009,G00004,D00002
PRD0904188,CL00036,DEP00009,G00004,D00002
PRD0901277,CL00034,DEP00009,G00004,D00002
PRD0904976,CL00040,DEP00010,G00004,D00002
PRD0902728,CL00038,DEP00010,G00004,D00002
PRD0903297,CL00039,DEP00010,G00004,D00002
PRD0900302,CL00037,DEP00010,G00004,D00002
PRD0902898,CL00037,DEP00010,G00004,D00002
PRD0901084,CL00039,DEP00010,G00004,D00002
PRD0900415,CL00040,DEP00010,G00004,D00002
PRD0900810,CL00038,DEP00010,G00004,D00002
PRD0901627,CL00039,DEP00010,G00004,D00002
PRD0903086,CL00038,DEP00010,G00004,D00002
PRD0901422,CL00037,DEP00010,G00004,D00002
PRD0900450,CL00039,DEP00010,G00004,D00002
PRD0904056,CL00039,DEP00010,G00004,D00002
PRD0903215,CL00037,DEP00010,G00004,D00002
PRD0903667,CL00040,DEP00010,G00004,D00002
PRD0902005,CL00038,DEP00010,G00004,D00002
PRD0900330,CL00039,DEP00010,G00004,D00002
PRD0903567,CL00038,DEP00010,G00004,D00002
PRD0903074,CL00045,DEP00011,G00004,D00002
PRD0903374,CL00042,DEP00011,G00004,D00002
PRD0900830,CL00043,DEP00011,G00004,D00002
PRD0900173,CL00045,DEP00011,G00004,D00002
PRD0904281,CL00045,DEP00011,G00004,D00002
PRD0900563,CL00041,DEP00011,G00004,D00002
PRD0903620,CL00044,DEP00011,G00004,D00002
PRD0900008,CL00042,DEP00011,G00004,D00002
PRD0900684,CL00043,DEP00011,G00004,D00002
PRD0901870,CL00043,DEP00011,G00004,D00002
PRD0902540,CL00044,DEP00011,G00004,D00002
PRD0904250,CL00045,DEP00011,G00004,D00002
PRD0902601,CL00044,DEP00011,G00004,D00002
PRD0902700,CL00042,DEP00011,G00004,D00002
PRD0904887,CL00041,DEP00011,G00004,D00002
PRD0902640,CL00045,DEP00011,G00004,D00002
PRD0901278,CL00045,DEP00011,G00004,D00002
PRD0903720,CL00045,DEP00011,G00004,D00002
PRD0902808,CL00045,DEP00011,G00004,D00002
PRD0901932,CL00042,DEP00011,G00004,D00002
PRD0903246,CL00042,DEP00011,G00004,D00002
PRD0900679,CL00041,DEP00011,G00004,D00002
PRD0902585,CL00041,DEP00011,G00004,D00002
PRD0900212,CL00044,DEP00011,G00004,D00002
PRD0901943,CL00043,DEP00011,G00004,D00002
PRD0901316,CL00044,DEP00011,G00004,D00002
PRD0901878,CL00043,DEP00011,G00004,D00002
PRD0901383,CL00044,DEP00011,G00004,D00002
PRD0900375,CL00041,DEP00011,G00004,D00002
PRD0901279,CL00043,DEP00011,G00004,D00002
PRD0903696,CL00041,DEP00011,G00004,D00002
PRD0903876,CL00041,DEP00011,G00004,D00002
PRD0903023,CL00043,DEP00011,G00004,D00002
PRD0903198,CL00041,DEP00011,G00004,D00002
PRD0901212,CL00043,DEP00011,G00004,D00002
PRD0903499,CL00041,DEP00011,G00004,D00002
PRD0901639,CL00043,DEP00011,G00004,D00002
PRD0900969,CL00041,DEP00011,G00004,D00002
PRD0904836,CL00043,DEP00011,G00004,D00002
PRD0902913,CL00041,DEP00011,G00004,D00002
PRD0904878,CL00042,DEP00011,G00004,D00002
PRD0902160,CL00045,DEP00011,G00004,D00002
PRD0904174,CL00042,DEP00011,G00004,D00002
PRD0902813,CL00043,DEP00011,G00004,D00002
PRD0903557,CL00044,DEP00011,G00004,D00002
PRD0900065,CL00043,DEP00011,G00004,D00002
PRD0903187,CL00043,DEP00011,G00004,D00002
PRD0903176,CL00044,DEP00011,G00004,D00002
PRD0900066,CL00041,DEP00011,G00004,D00002
PRD0903513,CL00045,DEP00011,G00004,D00002
PRD0900511,CL00041,DEP00011,G00004,D00002
PRD0904380,CL00041,DEP00011,G00004,D00002
PRD0903113,CL00045,DEP00011,G00004,D00002
PRD0904689,CL00046,DEP00012,G00004,D00002
PRD0904946,CL00049,DEP00012,G00004,D00002
PRD0901304,CL00046,DEP00012,G00004,D00002
PRD0903757,CL00046,DEP00012,G00004,D00002
PRD0901003,CL00046,DEP00012,G00004,D00002
PRD0900362,CL00049,DEP00012,G00004,D00002
PRD0901171,CL00047,DEP00012,G00004,D00002
PRD0902109,CL00049,DEP00012,G00004,D00002
PRD0904967,CL00049,DEP00012,G00004,D00002
PRD0900248,CL00049,DEP00012,G00004,D00002
PRD0903200,CL00049,DEP00012,G00004,D00002
PRD0904066,CL00049,DEP00012,G00004,D00002
PRD0904436,CL00049,DEP00012,G00004,D00002
PRD0900520,CL00049,DEP00012,G00004,D00002
PRD0902181,CL00049,DEP00012,G00004,D00002
PRD0901200,CL00049,DEP00012,G00004,D00002
PRD0900456,CL00046,DEP00012,G00004,D00002
PRD0902509,CL00047,DEP00012,G00004,D00002
PRD0903506,CL00046,DEP00012,G00004,D00002
PRD0900580,CL00047,DEP00012,G00004,D00002
PRD0902092,CL00049,DEP00012,G00004,D00002
PRD0903552,CL00049,DEP00012,G00004,D00002
PRD0900672,CL00049,DEP00012,G00004,D00002
PRD0904570,CL00046,DEP00012,G00004,D00002
PRD0900298,CL00048,DEP00012,G00004,D00002
PRD0901591,CL00049,DEP00012,G00004,D00002
PRD0903069,CL00046,DEP00012,G00004,D00002
PRD0903735,CL00046,DEP00012,G00004,D00002
PRD0903672,CL00048,DEP00012,G00004,D00002
PRD0902830,CL00046,DEP00012,G00004,D00002
PRD0900544,CL00047,DEP00012,G00004,D00002
PRD0902416,CL00048,DEP00012,G00004,D00002
PRD0901066,CL00046,DEP00012,G00004,D00002
PRD0904073,CL00049,DEP00012,G00004,D00002
PRD0900299,CL00047,DEP00012,G00004,D00002
PRD0900160,CL00049,DEP00012,G00004,D00002
PRD0900653,CL00046,DEP00012,G00004,D00002
PRD0901500,CL00046,DEP00012,G00004,D00002
